name,lat_deg,lon_deg,country code 
Dubai International Airport,25.25279999,55.36439896,AE
Tirana International Airport Mother Teresa,41.41469955,19.72060013,AL
Zvartnots International Airport,40.14730072,44.39590073,AM
Quatro de Fevereiro Airport,-8.85837,13.2312,AO
Ministro Pistarini International Airport,-34.8222,-58.5358,AR
Vienna International Airport,48.110298,16.5697,AT
Sydney Kingsford Smith International Airport,-33.94609833,151.177002,AU
Queen Beatrix International Airport,12.5014,-70.015198,AW
Heydar Aliyev International Airport,40.46749878,50.04669952,AZ
Hazrat Shahjalal International Airport,23.843347,90.397783,BD
Brussels Airport,50.90140152,4.48443985,BE
Sofia Airport,42.69669342,23.41143608,BG
Bahrain International Airport,26.267295,50.63764,BH
Brunei International Airport,4.944200039,114.9280014,BN
Viru Viru International Airport,-17.6448,-63.135399,BO
Flamingo International Airport,12.131,-68.268501,BQ
Guarulhos - Governador Andre Franco Montoro International Airport,-23.431944,-46.467778,BR
Lynden Pindling International Airport,25.039,-77.466202,BS
Sir Seretse Khama International Airport,-24.555201,25.9182,BW
Minsk National Airport,53.888071,28.039964,BY
Philip S. W. Goldson International Airport,17.53910065,-88.30819702,BZ
Toronto Lester B. Pearson International Airport,43.67720032,-79.63059998,CA
Ndjili International Airport,-4.38575,15.4446,CD
Zurich Airport,47.458056,8.548056,CH
Rarotonga International Airport,-21.20269966,-159.8059998,CK
Comodoro Arturo Merino Benitez International Airport,-33.39300156,-70.78579712,CL
Beijing Daxing International Airport,39.509945,116.41092,CN
El Dorado International Airport,4.70159,-74.1469,CO
Guanacaste Airport,10.5933,-85.544403,CR
Jose Marti International Airport,22.98920059,-82.40910339,CU
Amilcar Cabral International Airport,16.7414,-22.9494,CV
Hato International Airport,12.1889,-68.959801,CW
Larnaca International Airport,34.875099,33.624901,CY
Vaclav Havel Airport Prague,50.1008,14.26,CZ
Frankfurt am Main Airport,50.036249,8.559294,DE
Djibouti-Ambouli Airport,11.5473,43.1595,DJ
Copenhagen Kastrup Airport,55.61790085,12.65600014,DK
Las Americas International Airport,18.42970085,-69.66889954,DO
Houari Boumediene Airport,36.691002,3.21541,DZ
Mariscal Sucre International Airport,-0.129166667,-78.3575,EC
Lennart Meri Tallinn Airport,59.41329956,24.83279991,EE
Cairo International Airport,30.12190056,31.40559959,EG
Adolfo Suarez Madrid-Barajas Airport,40.471926,-3.56264,ES
Addis Ababa Bole International Airport,8.97789,38.799301,ET
Helsinki Vantaa Airport,60.3172,24.963301,FI
Paris Charles de Gaulle International Airport,49.012798,2.55,FR
London Heathrow Airport,51.4706,-0.461941,GB
Belfast International Airport,54.65750122,-6.215829849,GB
Edinburgh Airport,55.950145,-3.372288,GB
Tbilisi International Airport,41.6692009,44.95470047,GE
Cayenne Felix Eboue Airport,4.819964,-52.361326,GF
Kotoka International Airport,5.6051898,-0.166786,GH
Banjul International Airport,13.338,-16.652201,GM
Pointe-a-Pitre Le Raizet International  Airport,16.265301,-61.531799,GP
Athens Eleftherios Venizelos International Airport,37.936401,23.9445,GR
La Aurora Airport,14.5833,-90.527496,GT
Antonio B. Won Pat International Airport,13.4834,144.796005,GU
Hong Kong International Airport,22.308901,113.915001,HK
Zagreb Airport,45.74290085,16.06879997,HR
Toussaint Louverture International Airport,18.58,-72.292503,HT
Budapest Liszt Ferenc International Airport,47.42976,19.261093,HU
Soekarno-Hatta International Airport,-6.12556982,106.6559982,ID
Dublin Airport,53.421299,-6.27007,IE
Ben Gurion International Airport,32.01139832,34.88669968,IL
Indira Gandhi International Airport,28.55563,77.09519,IN
Baghdad International Airport / New Al Muthana Air Base,33.262501,44.2346,IQ
Mehrabad International Airport,35.41609955,51.15219879,IR
Keflavik International Airport,63.985001,-22.6056,IS
